9/11/2018 12:27:24 PM: Checking for new tickets.
9/11/2018 12:27:35 PM: Checking for new tickets.
9/11/2018 12:27:45 PM: Checking for new tickets.
9/11/2018 12:27:56 PM: Checking for new tickets.
9/11/2018 12:28:06 PM: Checking for new tickets.
9/11/2018 12:28:17 PM: Checking for new tickets.
9/11/2018 12:28:28 PM: Checking for new tickets.
9/11/2018 12:28:38 PM: Checking for new tickets.
9/11/2018 12:28:49 PM: Checking for new tickets.
9/11/2018 12:28:59 PM: Checking for new tickets.
9/11/2018 12:29:10 PM: Checking for new tickets.
9/11/2018 12:29:17 PM: dumping the ticket cache.
9/11/2018 12:29:20 PM: Checking for new tickets.
9/11/2018 12:29:21 PM: Caching ticket #17796
9/11/2018 12:29:21 PM: New Ticket
9/11/2018 12:29:31 PM: Checking for new tickets.
9/11/2018 12:29:42 PM: Checking for new tickets.
9/11/2018 12:29:52 PM: Checking for new tickets.
9/11/2018 12:30:03 PM: Checking for new tickets.
9/11/2018 12:30:13 PM: Checking for new tickets.
9/11/2018 12:30:24 PM: Checking for new tickets.
9/11/2018 12:30:35 PM: Checking for new tickets.
9/11/2018 12:30:45 PM: Checking for new tickets.
9/11/2018 12:30:56 PM: Checking for new tickets.
9/11/2018 12:31:06 PM: Checking for new tickets.
9/11/2018 12:31:17 PM: Checking for new tickets.
9/11/2018 12:31:27 PM: Checking for new tickets.
9/11/2018 12:31:38 PM: Checking for new tickets.
9/11/2018 12:31:48 PM: Checking for new tickets.
9/11/2018 12:31:59 PM: Checking for new tickets.
9/11/2018 12:32:10 PM: Checking for new tickets.
9/11/2018 12:32:21 PM: Checking for new tickets.
9/11/2018 12:32:31 PM: Checking for new tickets.
9/11/2018 12:32:42 PM: Checking for new tickets.
9/11/2018 12:32:53 PM: Checking for new tickets.
9/11/2018 12:33:03 PM: Checking for new tickets.
9/11/2018 12:33:14 PM: Checking for new tickets.
9/11/2018 12:33:24 PM: Checking for new tickets.
9/11/2018 12:33:35 PM: Checking for new tickets.
9/11/2018 12:33:45 PM: Checking for new tickets.
9/11/2018 12:33:56 PM: Checking for new tickets.
9/11/2018 12:34:07 PM: Checking for new tickets.
9/11/2018 12:34:17 PM: dumping the ticket cache.
9/11/2018 12:34:17 PM: Checking for new tickets.
9/11/2018 12:34:18 PM: Caching ticket #17796
9/11/2018 12:34:18 PM: New Ticket
9/11/2018 12:34:28 PM: Checking for new tickets.
